age,job,marital,balance,housing,loan,day,duration,campaign,pdays,previous,poutcome,y
40,unemployed,divorced,507,yes,no,2,134,1,266,7,failure,no
32,management,married,14611,yes,no,17,67,1,-1,0,unknown,no
35,admin.,married,-244,yes,yes,6,118,1,-1,0,unknown,no
60,retired,married,219,no,no,29,235,2,-1,0,unknown,no
56,technician,single,751,yes,no,19,85,5,-1,0,unknown,no
41,self-employed,single,1616,no,no,28,229,1,184,7,success,no
36,management,married,93,no,no,12,262,2,182,7,failure,yes
50,blue-collar,married,253,yes,yes,5,475,2,-1,0,unknown,no
54,retired,married,1925,no,no,19,348,3,-1,0,unknown,no
46,management,married,144,no,no,22,79,4,-1,0,unknown,no
31,management,single,-173,yes,no,6,396,2,-1,0,unknown,no
52,self-employed,married,3720,no,no,20,114,2,-1,0,unknown,no
47,technician,married,3519,no,yes,28,193,1,220,1,failure,no
60,retired,divorced,1718,yes,no,26,146,6,-1,0,unknown,no
31,management,married,-6,no,no,28,198,6,-1,0,unknown,no
23,student,single,405,yes,no,19,134,3,-1,0,unknown,no
30,management,single,1268,no,no,16,73,4,-1,0,unknown,no
32,management,single,-307,yes,yes,7,447,2,346,2,failure,no
33,admin.,married,920,no,no,13,111,1,105,1,success,no
54,admin.,married,0,yes,no,29,46,1,-1,0,unknown,no
37,blue-collar,married,-308,yes,no,13,168,4,310,11,failure,no
55,technician,married,0,yes,yes,1,106,1,91,1,success,no
54,management,divorced,0,no,yes,10,88,1,-1,0,unknown,no
31,technician,single,3729,yes,no,2,192,8,-1,0,unknown,no
28,blue-collar,married,-55,yes,no,7,361,2,-1,0,unknown,no
48,blue-collar,married,7985,yes,no,11,232,2,347,1,failure,no
53,management,married,-252,no,yes,24,223,2,-1,0,unknown,no
47,housemaid,married,1985,no,no,12,320,2,-1,0,unknown,no
49,admin.,single,228,yes,no,3,252,2,93,2,success,yes
38,technician,married,318,no,no,5,274,1,182,6,success,yes
45,blue-collar,divorced,0,no,no,6,422,5,-1,0,unknown,no
42,management,married,860,yes,no,15,90,3,-1,0,unknown,no
58,services,divorced,0,no,no,28,250,2,-1,0,unknown,no
19,student,single,88,no,no,8,191,1,-1,0,unknown,no
38,management,single,2454,yes,no,14,373,2,-1,0,unknown,no
46,admin.,divorced,-60,no,no,17,117,1,-1,0,unknown,no
28,management,married,3,yes,no,14,112,2,24,2,other,no
35,admin.,married,-203,yes,no,11,1649,2,-1,0,unknown,yes
28,blue-collar,married,324,yes,no,5,175,1,-1,0,unknown,no
59,housemaid,married,418,no,no,29,300,4,-1,0,unknown,no
32,management,married,-360,yes,no,21,176,4,-1,0,unknown,no
43,admin.,single,375,no,yes,5,193,2,199,4,failure,no
51,management,divorced,318,yes,no,6,102,2,355,2,failure,no
34,management,married,-422,yes,no,30,458,3,-1,0,unknown,no
33,services,married,387,yes,no,7,327,2,138,2,failure,no
27,blue-collar,single,-233,yes,no,6,728,1,-1,0,unknown,no
41,services,married,6687,yes,no,21,41,2,123,3,failure,no
43,admin.,married,350,no,no,6,437,1,-1,0,unknown,no
31,blue-collar,married,1243,yes,no,21,32,1,-1,0,unknown,no
49,management,married,502,no,no,22,379,4,-1,0,unknown,no
54,unemployed,single,199,yes,no,21,532,1,-1,0,unknown,no
40,management,married,89,yes,yes,9,148,6,-1,0,unknown,no
31,blue-collar,married,1406,yes,yes,13,1091,2,-1,0,unknown,yes
31,services,married,-212,no,yes,20,911,4,-1,0,unknown,no
56,blue-collar,married,277,no,no,20,9,13,-1,0,unknown,no
61,management,married,7935,no,no,26,427,17,-1,0,unknown,no
49,entrepreneur,married,10772,no,no,8,89,2,-1,0,unknown,no
29,unemployed,married,380,no,yes,12,154,2,-1,0,unknown,no
54,admin.,married,66,yes,no,11,167,1,-1,0,unknown,yes
38,admin.,married,664,yes,no,14,256,2,-1,0,unknown,no
46,blue-collar,married,640,yes,no,12,215,1,182,4,success,yes
45,self-employed,married,571,yes,no,19,361,5,-1,0,unknown,no
55,admin.,married,8304,no,no,1,201,1,-1,0,unknown,yes
33,management,divorced,893,yes,no,29,259,1,259,9,failure,no
34,management,married,3696,no,no,8,758,2,160,5,other,yes
25,admin.,married,7,yes,yes,22,209,3,-1,0,unknown,no
58,admin.,married,-1196,yes,yes,14,256,4,-1,0,unknown,no
59,retired,married,3648,no,no,23,257,2,126,3,success,yes
31,blue-collar,single,5607,no,no,20,183,2,184,1,failure,no
48,housemaid,single,1630,no,no,15,125,1,-1,0,unknown,no
41,management,single,800,no,no,8,899,2,-1,0,unknown,no
42,blue-collar,married,1134,yes,no,28,424,3,-1,0,unknown,no
42,blue-collar,married,490,yes,no,5,386,2,-1,0,unknown,no
50,technician,married,2938,yes,no,15,170,5,-1,0,unknown,no
41,management,married,393,yes,no,8,110,2,-1,0,unknown,no
23,technician,single,1129,yes,no,28,806,1,-1,0,unknown,yes
30,services,married,2212,yes,no,30,41,1,249,2,other,no
43,entrepreneur,single,2124,yes,no,19,104,1,-1,0,unknown,no
38,management,married,1199,no,no,3,482,1,-1,0,unknown,yes
60,management,married,315,no,no,1,840,1,183,3,success,yes
23,student,single,794,no,no,26,607,3,171,3,other,yes
28,services,married,633,no,yes,25,95,1,-1,0,unknown,no
26,blue-collar,single,123,no,yes,7,209,1,-1,0,unknown,no
39,housemaid,married,2990,no,no,30,127,4,-1,0,unknown,no
26,student,single,603,no,no,28,73,1,-1,0,unknown,no
36,admin.,married,3221,no,no,4,322,11,-1,0,unknown,yes
42,technician,married,4791,yes,no,30,88,2,-1,0,unknown,no
54,entrepreneur,married,0,no,no,30,250,5,-1,0,unknown,no
44,blue-collar,married,300,yes,no,13,297,3,-1,0,unknown,no
31,management,single,0,no,no,19,155,4,-1,0,unknown,no
39,technician,single,1646,yes,no,5,474,2,-1,0,unknown,no
37,admin.,married,766,yes,no,14,123,1,-1,0,unknown,no
43,blue-collar,married,336,yes,no,9,256,5,-1,0,unknown,no
46,technician,married,783,yes,no,22,136,4,-1,0,unknown,no
44,management,married,1138,no,no,27,523,3,-1,0,unknown,yes
49,management,married,15,no,no,30,166,3,2,2,other,no
52,management,married,3258,no,no,5,234,3,-1,0,unknown,no
60,admin.,divorced,-41,yes,yes,6,1658,1,262,1,failure,yes
28,management,single,2080,no,no,30,399,2,2,1,other,no
34,management,married,4859,no,no,30,113,1,37,1,other,no
39,admin.,married,1891,no,no,17,147,1,-1,0,unknown,no
73,retired,married,2575,no,no,17,152,1,-1,0,unknown,no
34,technician,married,482,no,no,5,56,2,-1,0,unknown,no
42,technician,divorced,802,no,no,28,119,2,-1,0,unknown,no
52,technician,married,0,yes,no,7,211,1,294,1,failure,yes
56,blue-collar,married,-85,yes,yes,26,118,1,-1,0,unknown,no
53,blue-collar,married,600,yes,no,14,139,1,-1,0,unknown,no
31,admin.,married,297,yes,no,16,357,2,-1,0,unknown,no
46,management,married,174,yes,no,8,157,1,-1,0,unknown,no
39,technician,single,122,yes,no,2,158,1,-1,0,unknown,no
31,technician,single,0,yes,no,17,90,1,-1,0,unknown,no
49,blue-collar,married,1784,no,no,12,753,1,-1,0,unknown,no
37,admin.,married,10,no,yes,7,162,2,-1,0,unknown,no
25,student,single,326,no,no,26,390,1,-1,0,unknown,yes
23,student,single,2530,yes,no,18,194,3,364,3,other,no
36,blue-collar,married,55,yes,no,8,323,1,-1,0,unknown,no
34,technician,single,0,yes,no,17,158,2,-1,0,unknown,no
32,management,single,2846,yes,no,30,160,1,-1,0,unknown,no
46,management,married,36,yes,no,16,250,1,-1,0,unknown,no
27,management,single,0,yes,no,16,89,2,-1,0,unknown,no
38,technician,married,710,yes,no,17,196,1,346,3,failure,no
37,blue-collar,married,215,yes,yes,6,308,3,-1,0,unknown,no
34,services,single,88,no,no,5,206,1,99,1,failure,no
41,management,single,1253,no,no,21,1134,5,-1,0,unknown,yes
28,blue-collar,divorced,101,yes,no,28,126,4,-1,0,unknown,no
28,blue-collar,single,553,yes,no,7,225,3,321,3,failure,no
31,management,married,0,yes,no,18,47,1,-1,0,unknown,no
40,admin.,single,263,yes,no,6,231,1,-1,0,unknown,no
38,technician,married,499,no,no,19,240,6,-1,0,unknown,no
34,technician,married,863,no,no,21,360,2,-1,0,unknown,no
45,management,married,315,yes,no,4,154,2,-1,0,unknown,no
28,management,married,102,yes,no,26,314,2,-1,0,unknown,no
35,self-employed,married,2427,no,no,12,175,3,31,10,success,yes
28,entrepreneur,married,1034,no,no,29,113,1,-1,0,unknown,no
45,blue-collar,married,47,no,yes,18,128,4,-1,0,unknown,no
35,management,single,303,yes,yes,28,85,9,-1,0,unknown,no
35,management,single,343,no,no,29,45,2,-1,0,unknown,no
41,blue-collar,married,-52,yes,no,8,120,5,-1,0,unknown,no
38,services,single,1610,yes,no,17,76,6,-1,0,unknown,no
33,blue-collar,divorced,714,yes,no,6,208,1,344,2,other,no
58,blue-collar,married,0,yes,no,29,535,2,-1,0,unknown,no
35,blue-collar,married,229,no,no,26,435,3,-1,0,unknown,no
29,unemployed,single,550,no,no,29,801,1,-1,0,unknown,yes
36,blue-collar,divorced,638,yes,no,16,1395,2,-1,0,unknown,yes
44,entrepreneur,married,0,no,no,14,211,2,-1,0,unknown,no
45,technician,married,814,no,no,1,691,2,-1,0,unknown,no
39,housemaid,married,4899,no,no,20,394,2,-1,0,unknown,no
46,management,married,71,yes,no,19,220,4,-1,0,unknown,no
31,student,single,241,yes,no,12,211,5,-1,0,unknown,no
20,blue-collar,single,129,yes,yes,13,190,1,-1,0,unknown,no
36,management,single,1027,yes,no,4,151,1,-1,0,unknown,no
41,technician,married,501,yes,no,19,579,5,-1,0,unknown,yes
28,blue-collar,single,4229,yes,yes,5,205,2,-1,0,unknown,no
52,retired,single,316,no,no,12,463,3,-1,0,unknown,no
33,self-employed,married,-103,yes,no,19,149,2,175,1,failure,no
35,management,single,1048,no,no,22,362,2,-1,0,unknown,no
33,unknown,single,1522,no,yes,19,966,1,-1,0,unknown,no
36,admin.,married,953,yes,no,28,77,1,100,1,failure,no
44,entrepreneur,married,276,yes,yes,15,219,1,-1,0,unknown,no
39,entrepreneur,married,2644,yes,no,20,253,1,-1,0,unknown,no
57,management,married,473,no,no,1,295,1,-1,0,unknown,yes
39,technician,married,116,no,no,22,554,2,-1,0,unknown,yes
43,management,married,370,no,no,28,142,5,-1,0,unknown,no
32,technician,married,12,yes,yes,4,341,2,-1,0,unknown,no
28,student,married,803,yes,no,25,324,1,-1,0,unknown,no
43,blue-collar,married,479,yes,no,14,293,2,370,2,failure,no
38,management,divorced,112,yes,no,7,266,4,-1,0,unknown,no
51,housemaid,married,3486,no,no,20,135,11,-1,0,unknown,no
34,management,married,997,yes,yes,21,81,1,-1,0,unknown,no
36,management,married,396,no,no,13,67,5,-1,0,unknown,no
29,management,married,-45,no,no,2,180,1,-1,0,unknown,no
52,services,divorced,2455,no,no,21,76,1,119,1,failure,no
34,blue-collar,married,250,yes,no,29,193,6,-1,0,unknown,no
40,blue-collar,married,1451,no,no,30,117,1,121,1,success,yes
49,management,married,413,no,yes,31,196,4,-1,0,unknown,no
41,blue-collar,married,-441,yes,no,5,352,1,-1,0,unknown,no
39,management,married,2939,no,no,29,385,1,165,2,success,no
43,unknown,married,0,yes,no,9,132,1,-1,0,unknown,no
35,technician,single,2496,yes,no,20,9,2,-1,0,unknown,no
42,services,single,3403,yes,no,7,215,1,99,1,failure,yes
38,blue-collar,married,1102,yes,no,23,159,3,-1,0,unknown,no
35,management,divorced,29,no,no,25,157,4,-1,0,unknown,no
46,admin.,married,9319,yes,no,21,31,7,-1,0,unknown,no
38,management,single,424,yes,no,5,104,1,-1,0,unknown,no
37,technician,married,4596,yes,no,7,218,2,211,4,success,no
30,management,single,4319,yes,no,19,144,1,-1,0,unknown,no
39,blue-collar,married,0,yes,no,29,209,3,-1,0,unknown,no
58,blue-collar,married,2516,yes,no,16,303,1,-1,0,unknown,no
34,technician,single,0,yes,yes,16,214,1,-1,0,unknown,no
35,technician,single,6763,no,no,31,23,4,-1,0,unknown,no
32,blue-collar,married,2198,no,no,15,463,1,175,4,failure,no
42,housemaid,married,0,no,yes,11,83,2,-1,0,unknown,no
48,technician,married,340,yes,no,28,255,2,-1,0,unknown,no
31,blue-collar,single,-322,no,yes,4,208,1,-1,0,unknown,no
40,blue-collar,married,665,yes,no,5,177,3,211,1,success,no
35,admin.,married,163,yes,no,6,126,6,-1,0,unknown,no
43,blue-collar,married,5997,yes,no,15,270,3,-1,0,unknown,no
37,admin.,single,1000,yes,no,15,322,1,90,1,success,yes
31,technician,married,702,no,yes,29,157,3,182,29,failure,no
31,technician,single,882,no,no,3,411,1,-1,0,unknown,yes
39,admin.,married,0,no,no,27,366,1,436,10,failure,yes
45,blue-collar,married,2217,yes,no,15,126,1,-1,0,unknown,no
37,technician,married,1016,yes,yes,20,195,3,8,1,failure,no
51,services,married,615,no,no,2,1110,2,-1,0,unknown,no
41,technician,married,515,no,no,5,837,2,-1,0,unknown,yes
70,management,married,10171,no,no,18,65,2,-1,0,unknown,no
40,services,married,683,yes,no,2,299,2,-1,0,unknown,no
39,admin.,married,130,yes,yes,4,1290,2,-1,0,unknown,yes
32,services,divorced,376,yes,no,20,102,2,-1,0,unknown,no
35,blue-collar,married,0,yes,no,9,277,1,-1,0,unknown,no
43,admin.,divorced,15511,yes,no,2,484,1,-1,0,unknown,no
31,blue-collar,married,435,yes,no,21,204,1,-1,0,unknown,no
51,technician,married,205,yes,yes,13,665,1,-1,0,unknown,no
47,blue-collar,married,206,yes,no,6,152,1,-1,0,unknown,no
30,management,single,775,yes,no,16,124,2,-1,0,unknown,no
31,blue-collar,married,212,yes,yes,17,143,2,-1,0,unknown,no
34,services,divorced,380,yes,yes,25,102,2,-1,0,unknown,no
48,blue-collar,married,333,yes,no,14,24,6,-1,0,unknown,no
43,technician,married,764,yes,no,18,164,5,127,5,failure,no
28,student,single,5916,no,no,22,259,1,63,5,failure,no
36,admin.,married,828,yes,no,29,116,1,-1,0,unknown,no
33,services,married,-319,yes,no,25,142,1,-1,0,unknown,no
36,services,married,0,no,no,17,94,1,-1,0,unknown,no
42,blue-collar,married,57,yes,no,5,425,2,-1,0,unknown,no
48,blue-collar,married,3752,yes,no,13,215,5,-1,0,unknown,no
34,blue-collar,single,47,yes,no,14,232,1,147,2,failure,no
36,unemployed,single,851,no,no,2,368,2,-1,0,unknown,no
44,blue-collar,married,268,no,no,26,127,5,-1,0,unknown,no
26,technician,single,401,no,no,5,188,2,-1,0,unknown,yes
50,management,single,1200,no,no,14,904,3,-1,0,unknown,yes
52,services,married,393,yes,yes,28,446,1,182,8,failure,no
46,technician,married,-220,yes,no,25,203,1,-1,0,unknown,no
37,blue-collar,married,253,yes,no,19,145,2,-1,0,unknown,no
42,admin.,single,470,yes,no,12,207,4,-1,0,unknown,no
43,admin.,married,-204,yes,no,26,163,2,-1,0,unknown,no
35,admin.,married,220,yes,no,2,153,4,244,13,failure,no
38,services,divorced,0,yes,no,20,355,3,151,3,failure,no
26,student,single,5169,yes,no,20,639,2,-1,0,unknown,no
31,blue-collar,single,411,no,no,21,91,3,361,1,failure,no
32,technician,married,963,no,no,28,15,13,-1,0,unknown,no
29,blue-collar,married,195,yes,no,11,333,1,-1,0,unknown,no
54,blue-collar,married,244,yes,no,29,337,2,-1,0,unknown,no
41,management,married,1234,no,no,17,68,1,-1,0,unknown,no
36,services,married,795,no,yes,8,215,2,-1,0,unknown,no
31,technician,single,798,no,no,26,66,10,-1,0,unknown,no
33,blue-collar,married,1138,yes,yes,23,509,1,-1,0,unknown,no
59,management,divorced,1304,no,no,18,220,1,-1,0,unknown,no
40,management,married,30,yes,no,28,609,6,-1,0,unknown,no
28,services,single,3028,yes,no,17,183,1,-1,0,unknown,no
34,admin.,married,471,yes,no,8,146,3,340,2,failure,no
36,self-employed,single,1173,yes,yes,20,50,5,-1,0,unknown,no
36,admin.,married,1314,yes,no,17,330,3,-1,0,unknown,no
59,blue-collar,married,14,yes,yes,18,319,2,182,1,failure,no
47,services,divorced,-116,no,yes,25,160,3,-1,0,unknown,no
36,admin.,married,998,yes,no,14,1044,2,-1,0,unknown,no
34,management,married,180,no,no,16,298,3,-1,0,unknown,no
27,admin.,married,102,yes,no,29,123,2,-1,0,unknown,no
36,blue-collar,single,641,yes,no,17,735,2,-1,0,unknown,no
29,blue-collar,married,64,yes,yes,14,611,2,-1,0,unknown,no
51,blue-collar,married,5206,yes,no,20,168,3,-1,0,unknown,no
55,management,married,5010,no,no,18,530,1,-1,0,unknown,no
28,blue-collar,single,727,yes,no,6,144,4,-1,0,unknown,no
74,retired,married,10253,no,no,20,84,1,-1,0,unknown,no
34,management,married,1703,yes,no,22,153,5,-1,0,unknown,no
39,technician,divorced,566,no,no,21,46,7,-1,0,unknown,no
34,blue-collar,married,1979,yes,no,20,283,1,-1,0,unknown,no
30,services,single,85,yes,no,10,81,7,-1,0,unknown,no
56,blue-collar,married,3129,no,no,20,33,6,-1,0,unknown,no
48,management,single,145,yes,no,26,14,38,-1,0,unknown,no
29,admin.,single,464,no,no,9,208,2,91,3,success,yes
30,management,single,376,yes,no,21,710,1,-1,0,unknown,yes
37,management,married,49,no,yes,22,132,1,-1,0,unknown,no
55,entrepreneur,married,204,no,no,14,455,13,-1,0,unknown,no
37,self-employed,married,0,yes,no,17,158,1,-1,0,unknown,no
55,management,divorced,407,yes,yes,25,65,8,-1,0,unknown,no
34,technician,married,-287,yes,yes,26,199,1,-1,0,unknown,no
23,housemaid,single,93,yes,no,18,70,3,-1,0,unknown,no
34,management,single,1612,no,no,27,108,22,-1,0,unknown,no
56,management,married,1388,no,no,18,132,1,-1,0,unknown,no
33,technician,single,516,no,no,22,76,7,-1,0,unknown,no
32,blue-collar,single,2696,yes,no,21,445,1,-1,0,unknown,no
41,management,married,36,no,no,19,388,3,-1,0,unknown,no
38,technician,single,69,yes,no,13,253,3,-1,0,unknown,no
60,retired,married,1091,no,yes,15,778,3,-1,0,unknown,no
21,blue-collar,single,292,yes,yes,13,148,4,-1,0,unknown,no
56,services,married,4763,yes,no,20,233,4,115,6,failure,no
34,technician,single,612,no,no,28,81,1,95,1,failure,no
44,management,married,0,yes,no,31,49,5,-1,0,unknown,no
47,technician,divorced,194,no,no,20,368,2,-1,0,unknown,no
58,services,married,12180,no,no,16,121,5,-1,0,unknown,no
33,blue-collar,married,2655,yes,no,21,195,1,-1,0,unknown,no
63,retired,divorced,859,no,no,13,92,1,-1,0,unknown,no
31,management,divorced,0,yes,no,7,953,3,-1,0,unknown,no
47,management,married,-1,no,no,6,302,4,-1,0,unknown,no
37,admin.,single,-17,yes,no,11,400,2,340,2,failure,no
29,blue-collar,single,-125,yes,no,29,198,3,-1,0,unknown,no
39,blue-collar,married,52,no,no,13,69,1,-1,0,unknown,no
34,management,single,886,yes,no,21,104,2,-1,0,unknown,no
35,technician,single,538,yes,no,4,313,2,-1,0,unknown,no
40,blue-collar,married,440,yes,no,5,327,2,-1,0,unknown,no
44,self-employed,married,4,no,no,12,327,2,-1,0,unknown,no
32,admin.,divorced,2017,no,yes,17,686,1,-1,0,unknown,no
42,self-employed,single,924,no,no,2,127,1,-1,0,unknown,no
50,management,married,2366,no,no,28,816,2,149,1,other,yes
45,management,married,7154,yes,no,19,93,3,111,3,failure,no
50,technician,married,199,yes,yes,26,79,1,-1,0,unknown,no
55,technician,married,1816,no,no,5,197,1,-1,0,unknown,no
46,services,divorced,0,no,no,17,407,1,150,3,success,no
39,blue-collar,married,-220,yes,no,14,282,1,352,2,failure,no
48,technician,married,1449,yes,yes,28,188,1,-1,0,unknown,no
31,self-employed,single,17924,yes,no,21,608,3,-1,0,unknown,no
33,admin.,single,1590,yes,no,20,18,4,334,1,other,no
47,retired,married,1374,no,yes,8,479,2,359,3,failure,yes
46,admin.,married,-143,yes,no,23,1034,9,-1,0,unknown,no
35,blue-collar,married,2688,yes,no,20,281,1,-1,0,unknown,no
35,technician,single,756,yes,no,16,14,14,-1,0,unknown,no
56,blue-collar,married,316,yes,no,19,27,1,-1,0,unknown,no
25,admin.,single,285,no,no,3,658,3,-1,0,unknown,yes
23,student,single,780,no,no,16,267,1,-1,0,unknown,no
50,blue-collar,married,181,yes,no,17,599,2,-1,0,unknown,no
30,management,married,86,yes,yes,7,255,6,169,3,failure,no
48,admin.,married,2707,no,no,17,212,2,-1,0,unknown,no
38,management,married,-239,yes,no,2,221,2,-1,0,unknown,no
46,housemaid,married,296,yes,no,20,205,4,-1,0,unknown,no
44,management,divorced,5757,yes,no,18,114,1,-1,0,unknown,no
26,admin.,married,3160,yes,no,27,154,1,-1,0,unknown,no
71,retired,married,1712,no,no,11,660,1,-1,0,unknown,yes
33,technician,married,1020,no,no,27,82,4,-1,0,unknown,no
44,management,married,119,yes,no,10,67,1,-1,0,unknown,no
56,entrepreneur,divorced,2975,no,yes,30,28,13,-1,0,unknown,no
38,technician,divorced,-530,yes,no,21,236,1,-1,0,unknown,no
29,management,single,874,yes,no,16,231,1,181,2,success,yes
35,management,single,1162,no,no,30,175,1,-1,0,unknown,yes
26,admin.,single,0,yes,no,13,204,3,-1,0,unknown,no
35,technician,married,410,yes,no,20,67,2,-1,0,unknown,no
30,student,single,3096,no,no,2,226,3,188,1,failure,no
52,blue-collar,married,262,no,no,18,1062,4,-1,0,unknown,no
65,retired,married,3713,no,no,7,43,3,-1,0,unknown,no
49,admin.,single,7426,no,no,20,65,2,-1,0,unknown,no
35,housemaid,married,11219,no,no,12,699,2,79,1,failure,no
45,blue-collar,married,31,no,no,8,393,2,310,1,other,no
59,services,single,0,no,no,22,320,1,-1,0,unknown,no
48,blue-collar,married,1,no,no,5,669,3,-1,0,unknown,no
33,management,married,2744,yes,no,19,103,1,-1,0,unknown,no
55,blue-collar,single,1187,yes,no,2,193,2,-1,0,unknown,no
41,management,married,733,yes,no,7,69,1,335,7,failure,no
50,admin.,single,167,no,yes,4,346,2,191,3,failure,no
57,services,married,530,yes,no,15,10,7,360,7,failure,no
51,self-employed,married,921,no,no,24,188,1,-1,0,unknown,no
46,blue-collar,married,596,yes,no,3,404,13,-1,0,unknown,no
35,management,married,94,yes,no,17,108,1,-1,0,unknown,no
29,blue-collar,married,201,yes,no,27,101,12,-1,0,unknown,no
54,technician,divorced,2156,yes,no,3,261,1,195,4,failure,yes
59,blue-collar,divorced,1228,no,yes,16,57,3,-1,0,unknown,no
31,blue-collar,married,152,yes,yes,8,831,1,-1,0,unknown,yes
28,technician,single,-594,yes,yes,15,296,2,353,2,other,no
40,blue-collar,single,0,yes,yes,11,114,2,-1,0,unknown,no
28,student,single,2351,no,no,22,157,1,-1,0,unknown,yes
51,technician,married,425,yes,no,19,124,3,-1,0,unknown,no
32,management,divorced,387,no,no,26,99,4,-1,0,unknown,no
29,management,single,1952,yes,no,14,354,1,-1,0,unknown,no
27,management,single,321,yes,no,13,173,2,307,1,other,no
46,management,married,-591,no,no,9,126,1,-1,0,unknown,no
49,technician,married,196,no,no,4,9,7,163,24,other,no
37,admin.,divorced,-165,yes,no,3,48,2,-1,0,unknown,no
42,blue-collar,married,0,no,no,26,270,2,-1,0,unknown,no
31,entrepreneur,married,312,no,no,29,468,2,-1,0,unknown,no
53,admin.,married,-1601,no,yes,13,82,2,-1,0,unknown,no
55,technician,married,517,yes,yes,6,47,3,263,4,failure,no
41,admin.,married,125,no,no,7,244,4,-1,0,unknown,no
36,technician,married,6384,yes,yes,27,59,1,101,1,failure,no
30,self-employed,married,227,yes,yes,12,227,3,-1,0,unknown,no
27,admin.,single,832,no,no,21,336,1,-1,0,unknown,no
49,blue-collar,divorced,15,yes,no,27,550,7,-1,0,unknown,no
37,management,married,40,no,no,27,1033,4,-1,0,unknown,yes
52,technician,divorced,137,yes,no,30,84,3,-1,0,unknown,no
63,retired,married,1849,no,no,25,125,6,177,2,failure,no
30,services,single,211,no,yes,10,133,3,-1,0,unknown,no
42,services,married,2219,yes,no,31,548,2,-1,0,unknown,no
35,management,married,0,yes,no,21,199,3,-1,0,unknown,no
32,housemaid,married,834,no,no,11,144,2,-1,0,unknown,no
